base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
stations,{'all': 68},200,"{'lon': 108.01, 'lat': 61.28}",1547871490.0,2012956.0,"{'temp': 6.16, 'pressure': 990.25, 'humidity': 79, 'temp_min': 6.16, 'temp_max': 6.16, 'sea_level': 1033.86, 'grnd_level': 990.25}",,Yerbogachen,,,"{'message': 0.0054, 'country': 'RU', 'sunrise': 1547861968, 'sunset': 1547885897}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 8.19, 'deg': 249.504}"
stations,{'all': 75},200,"{'lon': -105.12, 'lat': 46.84}",1547870160.0,5681948.0,"{'temp': -4.01, 'pressure': 1025, 'humidity': 82, 'temp_min': -4.01, 'temp_max': -4.01}",,Fallon,,,"{'type': 1, 'id': 4198, 'message': 0.0033, 'country': 'US', 'sunrise': 1547908702, 'sunset': 1547941474}",16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.7, 'deg': 50}"
stations,{'all': 68},200,"{'lon': -46.77, 'lat': -1.05}",1547871490.0,3405006.0,"{'temp': 77.35, 'pressure': 1024.21, 'humidity': 92, 'temp_min': 77.35, 'temp_max': 77.35, 'sea_level': 1025.31, 'grnd_level': 1024.21}",,Braganca,,,"{'message': 0.0028, 'country': 'BR', 'sunrise': 1547889157, 'sunset': 1547932979}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.72, 'deg': 53.0041}"
,,404,,,,,city not found,,,,,,,
stations,{'all': 0},200,"{'lon': -66.34, 'lat': -33.3}",1547871477.0,3837056.0,"{'temp': 60.52, 'pressure': 974.2, 'humidity': 76, 'temp_min': 60.52, 'temp_max': 60.52, 'sea_level': 1033.29, 'grnd_level': 974.2}",,San Luis,,,"{'message': 0.0034, 'country': 'AR', 'sunrise': 1547890519, 'sunset': 1547940990}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 8.75, 'deg': 71.5041}"
,,404,,,,,city not found,,,,,,,
stations,{'all': 12},200,"{'lon': 141.45, 'lat': -31.97}",1547866800.0,2173911.0,"{'temp': 87.8, 'pressure': 1018, 'humidity': 23, 'temp_min': 87.8, 'temp_max': 87.8}",,Broken Hill,,,"{'type': 1, 'id': 9491, 'message': 0.0058, 'country': 'AU', 'sunrise': 1547840794, 'sunset': 1547890957}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 20.8, 'deg': 170}"
stations,{'all': 80},200,"{'lon': 78.56, 'lat': 52.92}",1547871491.0,1486340.0,"{'temp': 16.06, 'pressure': 1019.67, 'humidity': 78, 'temp_min': 16.06, 'temp_max': 16.06, 'sea_level': 1036.62, 'grnd_level': 1019.67}",,Yarovoye,,,"{'message': 0.0033, 'country': 'RU', 'sunrise': 1547866042, 'sunset': 1547895953}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 12.66, 'deg': 188.504}"
stations,{'all': 90},200,"{'lon': -80.41, 'lat': 37.23}",1547870100.0,4747845.0,"{'temp': 38.44, 'pressure': 1020, 'humidity': 95, 'temp_min': 34.34, 'temp_max': 42.98}",,Blacksburg,,,"{'type': 1, 'id': 5410, 'message': 0.004, 'country': 'US', 'sunrise': 1547901178, 'sunset': 1547937128}",16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.15, 'deg': 350.004}"
stations,{'all': 88},200,"{'lon': -2.72, 'lat': 52.06}",1547871492.0,2647074.0,"{'temp': 39.1, 'pressure': 992.68, 'humidity': 96, 'temp_min': 39.1, 'temp_max': 39.1, 'sea_level': 1018.74, 'grnd_level': 992.68}",,Hereford,{'3h': 0.125},,"{'message': 0.005, 'country': 'GB', 'sunrise': 1547885310, 'sunset': 1547915707}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 6.17, 'deg': 141.504}"
